DATE,GASREGW
2003-11-01,1.5120000000000000
2003-12-01,1.4788000000000000
2004-01-01,1.5717500000000000
2004-02-01,1.6475000000000000
2004-03-01,1.7360000000000000
2004-04-01,1.7977500000000000
2004-05-01,1.9834000000000000
2004-06-01,1.9692500000000000
2004-07-01,1.9112500000000000
2004-08-01,1.8780000000000000
2004-09-01,1.8697500000000000
2004-10-01,1.9995000000000000
2004-11-01,1.9794000000000000
2004-12-01,1.8410000000000000
2005-01-01,1.8308000000000000
2005-02-01,1.9100000000000000
2005-03-01,2.0792500000000000
2005-04-01,2.2425000000000000
2005-05-01,2.1612000000000000
2005-06-01,2.1555000000000000
2005-07-01,2.2900000000000000
2005-08-01,2.4862000000000000
2005-09-01,2.9032500000000000
2005-10-01,2.7168000000000000
2005-11-01,2.2567500000000000
2005-12-01,2.1850000000000000
2006-01-01,2.3156000000000000
2006-02-01,2.2800000000000000
2006-03-01,2.4247500000000000
2006-04-01,2.7420000000000000
2006-05-01,2.9068000000000000
2006-06-01,2.8845000000000000
2006-07-01,2.9806000000000000
2006-08-01,2.9517500000000000
2006-09-01,2.5550000000000000
2006-10-01,2.2446000000000000
2006-11-01,2.2292500000000000
2006-12-01,2.3127500000000000
2007-01-01,2.2398000000000000
2007-02-01,2.2777500000000000
2007-03-01,2.5627500000000000
2007-04-01,2.8450000000000000
2007-05-01,3.1460000000000000
2007-06-01,3.0560000000000000
2007-07-01,2.9646000000000000
2007-08-01,2.7857500000000000
2007-09-01,2.8032500000000000
2007-10-01,2.8030000000000000
2007-11-01,3.0800000000000000
2007-12-01,3.0184000000000000
2008-01-01,3.0427500000000000
2008-02-01,3.0275000000000000
2008-03-01,3.2440000000000000
2008-04-01,3.4580000000000000
2008-05-01,3.7657500000000000
2008-06-01,4.0542000000000000
2008-07-01,4.0615000000000000
2008-08-01,3.7785000000000000
2008-09-01,3.7026000000000000
2008-10-01,3.0512500000000000
2008-11-01,2.1470000000000000
2008-12-01,1.6870000000000000
2009-01-01,1.7882500000000000
2009-02-01,1.9227500000000000
2009-03-01,1.9586000000000000
2009-04-01,2.0490000000000000
2009-05-01,2.2655000000000000
2009-06-01,2.6306000000000000
2009-07-01,2.5265000000000000
2009-08-01,2.6164000000000000
2009-09-01,2.5540000000000000
2009-10-01,2.5512500000000000
2009-11-01,2.6514000000000000
2009-12-01,2.6072500000000000
2010-01-01,2.7150000000000000
2010-02-01,2.6440000000000000
2010-03-01,2.7716000000000000
2010-04-01,2.8482500000000000
2010-05-01,2.8362000000000000
2010-06-01,2.7315000000000000
2010-07-01,2.7287500000000000
2010-08-01,2.7298000000000000
2010-09-01,2.7050000000000000
2010-10-01,2.8005000000000000
2010-11-01,2.8590000000000000
2010-12-01,2.9930000000000000
2011-01-01,3.0948000000000000
2011-02-01,3.2110000000000000
2011-03-01,3.5612500000000000
2011-04-01,3.7995000000000000
2011-05-01,3.9062000000000000
2011-06-01,3.6800000000000000
2011-07-01,3.6502500000000000
2011-08-01,3.6394000000000000
2011-09-01,3.6112500000000000
2011-10-01,3.4480000000000000
2011-11-01,3.3837500000000000
2011-12-01,3.2657500000000000
2012-01-01,3.3800000000000000
2012-02-01,3.5792500000000000
2012-03-01,3.8517500000000000
2012-04-01,3.9004000000000000
2012-05-01,3.7322500000000000
2012-06-01,3.5387500000000000
2012-07-01,3.4392000000000000
2012-08-01,3.7215000000000000
2012-09-01,3.8485000000000000
2012-10-01,3.7456000000000000
2012-11-01,3.4517500000000000
2012-12-01,3.3104000000000000
2013-01-01,3.3185000000000000
2013-02-01,3.6700000000000000
2013-03-01,3.7112500000000000
2013-04-01,3.5702000000000000
2013-05-01,3.6147500000000000
2013-06-01,3.6260000000000000
2013-07-01,3.5910000000000000
2013-08-01,3.5737500000000000
2013-09-01,3.5324000000000000
2013-10-01,3.3437500000000000
2013-11-01,3.2427500000000000
2013-12-01,3.2764000000000000
2014-01-01,3.3125000000000000
2014-02-01,3.3562500000000000
2014-03-01,3.5332000000000000
2014-04-01,3.6607500000000000
2014-05-01,3.6727500000000000
2014-06-01,3.6916000000000000
2014-07-01,3.6112500000000000
2014-08-01,3.4865000000000000
2014-09-01,3.4062000000000000
2014-10-01,3.1705000000000000
2014-11-01,2.9122500000000000
2014-12-01,2.5426000000000000
2015-01-01,2.1157500000000000
2015-02-01,2.2162500000000000
2015-03-01,2.4636000000000000
2015-04-01,2.4690000000000000
2015-05-01,2.7182500000000000
2015-06-01,2.8016000000000000
2015-07-01,2.7935000000000000
2015-08-01,2.6362000000000000
2015-09-01,2.3652500000000000
2015-10-01,2.2900000000000000
2015-11-01,2.1580000000000000
2015-12-01,2.0375000000000000
2016-01-01,1.9485000000000000
2016-02-01,1.7636000000000000
2016-03-01,1.9687500000000000
2016-04-01,2.1127500000000000
2016-05-01,2.2682000000000000
2016-06-01,2.3655000000000000
2016-07-01,2.2390000000000000
2016-08-01,2.1776000000000000
2016-09-01,2.2185000000000000
2016-10-01,2.2494000000000000
2016-11-01,2.1815000000000000
2016-12-01,2.2542500000000000
2017-01-01,2.3490000000000000
2017-02-01,2.3040000000000000
2017-03-01,2.3250000000000000
2017-04-01,2.4172500000000000
2017-05-01,2.3914000000000000
2017-06-01,2.3465000000000000
2017-07-01,2.2998000000000000
2017-08-01,2.3802500000000000
2017-09-01,2.6452500000000000
2017-10-01,2.5050000000000000
2017-11-01,2.5635000000000000
2017-12-01,2.4767500000000000
2018-01-01,2.5546000000000000
2018-02-01,2.5872500000000000
2018-03-01,2.5912500000000000
2018-04-01,2.7570000000000000
2018-05-01,2.9007500000000000
2018-06-01,2.8907500000000000
2018-07-01,2.8486000000000000
2018-08-01,2.8357500000000000
2018-09-01,2.8355000000000000
2018-10-01,2.8600000000000000
2018-11-01,2.6472500000000000
2018-12-01,2.3656000000000000
2019-01-01,2.2477500000000000
2019-02-01,2.3092500000000000
2019-03-01,2.5160000000000000
2019-04-01,2.7984000000000000
2019-05-01,2.8592500000000000
2019-06-01,2.7157500000000000
2019-07-01,2.7400000000000000
2019-08-01,2.6210000000000000
2019-09-01,2.5922000000000000
2019-10-01,2.6270000000000000
2019-11-01,2.5977500000000000
2019-12-01,2.5550000000000000
2020-01-01,2.5477500000000000
2020-02-01,2.4420000000000000
2020-03-01,2.2342000000000000
2020-04-01,1.8405000000000000
2020-05-01,1.8695000000000000
2020-06-01,2.0822000000000000
2020-07-01,2.1832500000000000
2020-08-01,2.1824000000000000
2020-09-01,2.1827500000000000
2020-10-01,2.1580000000000000
2020-11-01,2.1082000000000000
2020-12-01,2.1952500000000000
2021-01-01,2.3342500000000000
2021-02-01,2.5010000000000000
2021-03-01,2.8104000000000000
2021-04-01,2.8582500000000000
2021-05-01,2.9852000000000000
2021-06-01,3.0637500000000000
2021-07-01,3.1360000000000000
2021-08-01,3.1578000000000000
2021-09-01,3.1750000000000000
2021-10-01,3.2905000000000000
2021-11-01,3.3948000000000000
2021-12-01,3.3065000000000000
2022-01-01,3.3146000000000000
2022-02-01,3.5172500000000000
2022-03-01,4.2217500000000000
2022-04-01,4.1085000000000000
2022-05-01,4.4436000000000000
2022-06-01,4.9290000000000000
2022-07-01,4.5592500000000000
2022-08-01,3.9750000000000000
2022-09-01,3.7002500000000000
2022-10-01,3.8152000000000000
2022-11-01,3.6850000000000000
2022-12-01,3.2100000000000000
2023-01-01,3.3392000000000000
2023-02-01,3.3887500000000000
2023-03-01,3.4220000000000000
2023-04-01,3.6030000000000000
2023-05-01,3.5548000000000000
2023-06-01,3.5710000000000000
2023-07-01,3.5970000000000000
2023-08-01,3.8397500000000000
2023-09-01,3.8360000000000000
2023-10-01,3.6128000000000000
2023-11-01,3.3180000000000000
